응답일,부서,직급,근속연수,업무만족도,워라밸,성장기회,소통,추천의향,자유의견
2026-09-10,품질보증팀,사원,9,3,4,5,3,8,협업 도구가 통일되면 좋겠습니다.
2026-09-10,연구개발팀,사원,5,3,3,2,4,7,협업 도구가 통일되면 좋겠습니다.
2026-09-08,연구개발팀,차장,3,4,4,3,2,6,협업 도구가 통일되면 좋겠습니다.
2026-09-10,연구개발팀,사원,9,4,4,4,2,8,업무 분장이 명확해지면 좋겠습니다.
2026-09-09,구매팀,부장,3,3,3,4,4,5,회의가 조금 줄었으면 합니다.
2026-09-08,영업기획팀,과장,3,3,2,4,4,8,교육 기회가 더 있으면 좋겠습니다.
2026-09-11,생산관리팀,과장,3,3,1,2,3,5,반복 업무에 시간을 너무 많이 씁니다.
2026-09-09,연구개발팀,사원,2,4,5,4,3,8,
2026-09-11,연구개발팀,부장,5,4,3,4,3,9,회의가 조금 줄었으면 합니다.
2026-09-08,연구개발팀,사원,5,3,2,2,4,7,업무 분장이 명확해지면 좋겠습니다.
2026-09-12,생산관리팀,과장,1,4,1,4,5,7,업무 분장이 명확해지면 좋겠습니다.
2026-09-11,연구개발팀,대리,9,5,3,4,3,6,교육 기회가 더 있으면 좋겠습니다.
2026-09-09,연구개발팀,차장,3,5,4,3,5,8,리더가 방향을 잘 잡아 줍니다.
2026-09-11,생산관리팀,부장,2,4,1,3,3,5,회의가 조금 줄었으면 합니다.
2026-09-11,생산관리팀,부장,1,4,3,4,4,8,협업 도구가 통일되면 좋겠습니다.
2026-09-12,인사팀,대리,15,5,4,4,3,8,새로운 시도를 해 볼 수 있어 만족합니다.
2026-09-10,영업기획팀,대리,3,4,2,2,4,8,교육 기회가 더 있으면 좋겠습니다.
2026-09-08,구매팀,과장,2,5,3,4,1,5,업무 분장이 명확해지면 좋겠습니다.
2026-09-11,구매팀,과장,15,3,3,4,3,7,협업 도구가 통일되면 좋겠습니다.
2026-09-12,품질보증팀,사원,7,4,3,5,4,8,
2026-09-12,연구개발팀,사원,5,5,4,4,4,10,
2026-09-10,생산관리팀,대리,7,2,3,5,3,7,교육 기회가 더 있으면 좋겠습니다.
2026-09-08,연구개발팀,부장,1,3,4,4,4,8,업무 분장이 명확해지면 좋겠습니다.
2026-09-11,영업기획팀,차장,5,3,3,2,2,5,야근이 잦아 개인 시간을 내기 어렵습니다.
2026-09-12,영업기획팀,차장,7,3,2,3,3,4,교육 기회가 더 있으면 좋겠습니다.
2026-09-12,영업기획팀,사원,7,2,4,2,3,6,교육 기회가 더 있으면 좋겠습니다.
2026-09-09,구매팀,차장,1,3,3,4,3,7,업무 분장이 명확해지면 좋겠습니다.
2026-09-12,인사팀,대리,7,5,5,4,3,10,팀 분위기가 좋아 일하기 편합니다.
2026-09-11,인사팀,차장,7,5,3,4,5,8,리더가 방향을 잘 잡아 줍니다.
2026-09-08,생산관리팀,대리,7,3,4,3,3,6,회의가 조금 줄었으면 합니다.
2026-09-09,생산관리팀,과장,5,3,2,1,2,5,반복 업무에 시간을 너무 많이 씁니다.
2026-09-11,품질보증팀,부장,3,4,2,2,3,5,업무 분장이 명확해지면 좋겠습니다.
2026-09-08,생산관리팀,차장,2,3,2,4,2,6,회의가 조금 줄었으면 합니다.
2026-09-09,생산관리팀,차장,15,4,2,3,3,4,교육 기회가 더 있으면 좋겠습니다.
2026-09-09,생산관리팀,사원,9,3,3,2,3,6,회의가 조금 줄었으면 합니다.
